编号,专业名称,是什么,学什么,干什么
1,哲学,哲学研习中西现代哲学、中西哲学史、伦理学、逻辑学、人类学等方面的基本理论和知识，以世界本原为探究对象，研究自然、社会和人类最普遍的问题，探索人的价值观、人生观和世界观的问题。例如：世界的本质是什么，人类应该怎样活着，人类如何看待死亡等。该专业侧重于学术方面，选择需谨慎。 关键词：马克思主义 三观 逻辑 伦理,《西方哲学史》、《中国哲学史》、《马克思主义哲学史》、《现代中国哲学》、《西方现代哲学》、《马克思主义哲学原理》、《技术哲学》、《自然哲学》、《现代西方伦理学》、《逻辑学》 部分高校按以下专业方向培养：国学。,深造：考研或者保研，继续哲学方面的学习深造，完成硕士、博士学业后，成为大学教授或者哲学学者； 转行：向公务员、编辑、记者、教师等方向发展。
2,逻辑学,逻辑学研习中西逻辑史、逻辑学、数理逻辑、思维科学等方面的基本理论和知识，以人类的思维形式及思维规律为研究对象，横跨数学、物理、计算机等多个学科，进行既定命题发生过程的推理和推导等。常见的找规律就是数理逻辑的典型，而数理逻辑也是现代逻辑学的主流。 关键词：数学 推理 规律 逻辑,《中国逻辑史》、《西方逻辑史》、《数理逻辑》、《模态逻辑》、《非经典逻辑》、《逻辑哲学》、《归纳逻辑》、《法律逻辑》、《批判性思维》、《科学社会学》,教育培训机构：逻辑思维训练； 深造：考研或者保研，继续逻辑学方面的学习深造，完成硕士、博士学业后，从事逻辑学的应用、科研、管理与教学等方面的工作； 转行：向公务员、编辑、教师、咨询员等方向发展。
3,宗教学,宗教学主要研究人类宗教现象及其历史演变，包括各大宗教的历史与理论、人类宗教的起源、宗教与人类其他精神活动的关系、宗教对社会生活的影响、宗教与政治的关系等方面。当今世界主要的宗教有：基督教、伊斯兰教、印度教、犹太教、佛教、道教、神道教等。 关键词：基督教 伊斯兰教 佛教 道教,《道教原典》、《圣经神学》、《基督教原典》、《印度佛教经典选读》、《儒学哲学专题》、《佛教文献与佛学研究》、《西方基督教遗产》、《马克思主义宗教学》、《中国伊斯兰教史》、《历史社会学》,文化、文物保护类事业单位：宗教文化研究、宗教文物保护； 旅游类企业：宗教旅游开发； 政府、事业单位：宗教研究、宗教事务管理、宗教理论宣传、宗教政策调研。
4,经济学,经济学主要研究经济学、金融学、投资学、精算学等方面的基本知识和技能，在银行、证券、信托等金融机构进行经济分析、预测、规划、管理以及各类金融服务。例如：债券、基金的投资前景分析，股票、投资的风险评估，汽车、房子的抵押贷款，企业破产时的资产清算等。 关键词：基金 债券 股票 贷款,《税收学》、《贸易经济学》、《计量经济学》、《公司金融学》、《政治经济学》、《金融计量学》、《国际经济学》、《国际贸易谈判模拟》、《金融会计学》、《精算学》 部分高校按以下专业方向培养：信用、城市经济、电算会计、国际金融、国际投资、航空经济、经济计量、金融与会计、能源经济管理、企业财务会计、金融服务与理财。,金融类机构：证券分析、投资理财、风险评估、抵押贷款、理赔服务、信托服务、资产清算。
5,经济统计学,经济统计学以经济数据为研究对象，主要研究经济数据的采集、生成和传输等方面的基本知识和技能，利用统计方法进行经济数据背后经济现象以及复杂经济系统规律的分析，从而为投资和管理决策服务。例如：投资前对投资风险和预估收益的分析，产品投放前对市场和消费者购买力的调研分析等。 关键词：统计 数据 风险 收益,《数学分析》、《高等代数》、《微观经济学》、《宏观经济学》、《统计学原理》、《经济统计学》、《金融统计学》、《多元统计分析》、《抽样调查技术》、《统计预测与决策》 部分高校按以下专业方向培养：金融统计、投资决策、企业管理统计。,金融类机构：风险分析、投资分析、科学精算； 各类企事业单位：市场调研、统计调查、统计信息管理、数据分析。
6,财政学,财政学主要研究经济学、财政学、税收学等方面的基本知识和技能，包括政府部门在资金筹集和使用方面的理论、制度和管理方法以及企业在生产经营过程中的税收问题等，从而进行税务规划、税务检查和资产管理等。例如：在合法的情况下为企业税务支出的减少进行筹划，对于个人或者企业的资产总值进行评估和管理等。 关键词：财政 货币 国债 税收,《税收学》、《纳税检查》、《财政学说史》、《比较财政学》、《公债学》、《国有资产管理学》、《应用经济学》、《税收征收管理系统》、《中国财税史》、《财政管理系统》 部分高校按以下专业方向培养：绩效评价、涉税会计、资产评估与资产管理。,贸易、商业类企业：对外贸易、税务规划； 信托类企业：资产管理； 政府、事业单位：税务检查、审计、资产管理与监督。
7,税收学,税收学主要研究经济学、税收学、管理学、法学等方面的基本知识和技能，包括税收的制度、分类、法律、政策等，进行纳税管理、税务规划、税务检查等。例如：企业对自身纳税情况的管理和监督，政府对于企业缴税情况的检查，在合法的情况下为企业税务支出的减少进行筹划等。 关键词：税收 税制 企业所得税 税务局,《中国税制》、《外国税制》、《税收筹划》、《税务代理实务》、《国际税收》、《税收管理》、《财税信息化》、《财务会计》、《公共财政学》、《国家预算》 部分高校按以下专业方向培养：税务师、国际税收、注册税务师。,各类企业：审计、纳税管理、税务规划； 税务、会计类事务所：税务代理； 政府、事业类单位：税务检查、审计。
8,金融学,金融学主要研究金融学、经济学、货币银行学、证券投资学、保险学等方面的基本知识和技能，在证券、投资、信托、保险等行业进行投资理财和风险控制等。例如：基金、股票、债券的收益分析、风险评估和投资管理，财产、人身保险的销售，银行柜台业务的办理等。 关键词：货币 股票 保险 银行,《税收学》、《公司金融学》、《囯际金融学》、《金融会计学》、《金融计量学》、《证券经济学》、《金融建模》、《金融衍生产品》、《模拟银行业务》、《银行会计学》 部分高校按以下专业方向培养：CFA、投资、国际金融、国际银行、金融理财、金融统计、证券投资、证券与期货、商业银行金融、保险理论与运营。,基金类企业：基金评估、基金管理、风险控制； 证券类企业：投资评估、证券投资； 信托类企业：资产管理； 保险类企业：保险销售； 银行：柜台办公、借贷管理。
9,金融工程,金融工程研究经济学、金融学、金融工程和金融管理等方面的基本知识，接受理财、投融资、风险管理等方面的技能训练，主要运用计算机建立数学模型，从而解决金融相关的问题。例如：基金、证券、保险等金融衍生品的设计开发，投资理财产品的风险控制和管理，保险事故损失额分布规律的精算等。 关键词：数学 计算机 理财产品 风控,《财政金融学》、《公司金融学》、《金融计量学》、《金融资产定价》、《金融风险定量分析》、《证券投资案例分析》、《寿险精算》、《投资银行实务》、《证券法》、《国际结算与融资》 部分高校按以下专业方向培养：金融科技、计算机与金融工程。,基金类企业：理财产品设计、基金绩效评估、风险控制、资产配置； 证券类企业：集合理财产品设计； 保险类企业：保险精算； 商业、投资类银行：金融衍生品设计、风险管理。
10,保险学,保险学主要研究经济学、金融学、保险学、数学、统计学、金融投资等方面的基本知识和技能，进行商业性保险业务的咨询、营销与管理、社会保险基金的运作、保险行业的监管等。常见的商业保险有：财产保险、人身保险、责任保险、信用保险等。 关键词：人寿保险 财产保险 人身保险 中国人寿,《保险学原理》、《风险管理》、《财产保险学》、《人身保险学》、《精算学原理》、《非寿险精算》、《寿险精算》、《保险基金管理与运行》、《货币银行学》、《财务管理》 部分高校按以下专业方向培养：风险管理与保险、精算与风险管理。,保险类企业：保险咨询、保险营销； 政府、事业类单位：社会保险基金运作与管理、保险监管。
